left_tag,right_tag,left_date,right_date,left_run,right_run,left_source_or_public,right_source_or_public,day_gap,pair_group,n_common_channels,coverage_left,coverage_right,jaccard_unit_mask,insufficient_ncommon_lt8,flattened_r_actual,rmse_fixed_source_normalized_units,null_r_mean,null_r_sd,null_r_q025,null_r_q50,null_r_q975,r_m_cos_phi,r_m_sin_phi,r_modulation_magnitude,r_baseline_rate
Run1_20201019,Run2_20201019,2020-10-19,2020-10-19,Run1,Run2,source_held_in,source_held_in,0,same_date_different_run,96,1.0,1.0,1.0,False,0.8856352695227402,0.4463587701320648,-0.008965978178281825,0.06693750263086151,-0.09774129186279638,-0.01906891294458617,0.1342580401964626,0.8309172559005676,0.6429102955283389,0.9156454591643501,0.9864494340900739
Run1_20201019,Run1_20201020,2020-10-19,2020-10-20,Run1,Run1,source_held_in,source_held_in,1,adjacent_date,96,1.0,1.0,1.0,False,0.4566405781720309,1.1806546449661255,-0.003201872245842934,0.05895946896430312,-0.0769840509499292,-0.017152756254595978,0.1579665533486326,0.3090662329566425,0.4043118099196275,0.5120603172524216,0.7457573369812242
Run1_20201019,Run2_20201020,2020-10-19,2020-10-20,Run1,Run2,source_held_in,source_held_in,1,adjacent_date,96,1.0,1.0,1.0,False,0.46070477500386336,1.1749067306518555,-0.002583736305572002,0.06508886104262453,-0.08462182385059563,-0.013100812321128606,0.15815906926979206,0.36754361467918534,0.38353164086279984,0.5082965865460077,0.7276931165245141
Run1_20201019,Run1_20201027,2020-10-19,2020-10-27,Run1,Run1,source_held_in,source_held_in,8,other_different_date,96,1.0,1.0,1.0,False,0.6195517603865264,0.7894302606582642,-0.00034904441030933904,0.05797321041857858,-0.07859743373207044,-0.01040162372560121,0.12736861648065026,0.4896358279645875,0.37609037760421954,0.8071780346779234,0.7906798197819809
Run1_20201019,Run2_20201027,2020-10-19,2020-10-27,Run1,Run2,source_held_in,source_held_in,8,other_different_date,96,1.0,1.0,1.0,False,0.669277460513294,0.746675431728363,-0.007245832639681753,0.06003785573248974,-0.08495408913130598,-0.017919491311172455,0.13557908127096346,0.5709814099506486,0.5148766774969583,0.8282740868444626,0.7960919002152245
Run1_20201019,Run1_20201028,2020-10-19,2020-10-28,Run1,Run1,source_held_in,source_held_in,9,other_different_date,96,1.0,1.0,1.0,False,0.6490036537220083,0.7871599793434143,0.0035079649587993144,0.05812932047305844,-0.07523870024414818,-0.009965369431005509,0.12546162581508236,0.6379158540528815,0.5488854546664965,0.6001687200096355,0.8119272713596494
Run1_20201019,Run1_20201030,2020-10-19,2020-10-30,Run1,Run1,source_held_in,public_held_out_calibration,11,other_different_date,96,1.0,1.0,1.0,False,0.768425959184706,0.731928288936615,0.0014690691017050959,0.06826770593413228,-0.06670022206086579,-0.013891647231265604,0.12977983555739722,0.8198014704623525,0.6267420451385859,0.8241551492714573,0.8065704387135885
Run1_20201019,Run2_20201030,2020-10-19,2020-10-30,Run1,Run2,source_held_in,public_held_out_calibration,11,other_different_date,96,1.0,1.0,1.0,False,0.7310925189414802,0.6892394423484802,0.0023724724210328345,0.06978523112998344,-0.06372613963148491,-0.014487165154427575,0.153164259404938,0.7868518421243819,0.4806534576973753,0.7926028402310117,0.7857284667782906
Run1_20201019,Run1_20201118,2020-10-19,2020-11-18,Run1,Run1,source_held_in,public_held_out_calibration,30,other_different_date,96,1.0,1.0,1.0,False,0.4157864970398429,1.0577411651611328,-0.0007382957877431509,0.06337589770474873,-0.08265131063033891,-0.010023977519878177,0.16685782705952745,0.21956967536960367,0.5222746743056362,0.3064661623378281,0.681356010880456
Run1_20201019,Run1_20201119,2020-10-19,2020-11-19,Run1,Run1,source_held_in,public_held_out_calibration,31,other_different_date,96,1.0,1.0,1.0,False,0.412218719015931,1.0406348705291748,-0.007754305521198299,0.05454622569966163,-0.07680495252389459,-0.021823825255556484,0.13748372824260494,0.17433065601540315,0.42798801532382963,0.3788260809997956,0.6851696406228983
