config,seed,session,budget_frames,ref_raw_r2
plain,1,ses-2020-10-30-Run1,200,0.35481977462768555
plain,1,ses-2020-10-30-Run1,400,0.3582262933254242
plain,1,ses-2020-10-30-Run1,800,0.3618785679340363
plain,1,ses-2020-10-30-Run1,1600,0.35911437273025515
plain,1,ses-2020-10-30-Run1,3200,0.35970357060432434
plain,1,ses-2020-10-30-Run1,1000000000,0.35970357060432434
plain,1,ses-2020-10-30-Run2,200,0.2501428171992302
plain,1,ses-2020-10-30-Run2,400,0.2444659322500229
plain,1,ses-2020-10-30-Run2,800,0.2540920630097389
plain,1,ses-2020-10-30-Run2,1600,0.2575994983315468
plain,1,ses-2020-10-30-Run2,3200,0.25508780777454376
plain,1,ses-2020-10-30-Run2,1000000000,0.25508780777454376
plain,1,ses-2020-11-18-Run1,200,0.10626293867826461
plain,1,ses-2020-11-18-Run1,400,0.10425057411193847
plain,1,ses-2020-11-18-Run1,800,0.11139252483844757
plain,1,ses-2020-11-18-Run1,1600,0.11438968777656555
plain,1,ses-2020-11-18-Run1,3200,0.11473896503448486
plain,1,ses-2020-11-18-Run1,1000000000,0.11473896503448486
plain,1,ses-2020-11-19-Run1,200,0.03149599134922028
plain,1,ses-2020-11-19-Run1,400,0.05009900778532028
plain,1,ses-2020-11-19-Run1,800,0.03279749602079392
plain,1,ses-2020-11-19-Run1,1600,0.036811704933643344
plain,1,ses-2020-11-19-Run1,3200,0.037044334411621097
plain,1,ses-2020-11-19-Run1,1000000000,0.037044334411621097
plain,1,ses-2020-11-24-Run1,200,-0.043882033228874205
plain,1,ses-2020-11-24-Run1,400,-0.008867114782333374
plain,1,ses-2020-11-24-Run1,800,-0.008143454790115356
plain,1,ses-2020-11-24-Run1,1600,0.0010903924703598022
plain,1,ses-2020-11-24-Run1,3200,0.0002533972263336182
plain,1,ses-2020-11-24-Run1,1000000000,0.0002533972263336182
plain,1,ses-2020-11-24-Run2,200,-0.051365350000560285
plain,1,ses-2020-11-24-Run2,400,-0.01924123602802865
plain,1,ses-2020-11-24-Run2,800,-0.027433735132217408
plain,1,ses-2020-11-24-Run2,1600,-0.03409428708255291
plain,1,ses-2020-11-24-Run2,3200,-0.030046762712299824
plain,1,ses-2020-11-24-Run2,1000000000,-0.030046762712299824
film,1,ses-2020-10-30-Run1,200,0.17789497077465058
film,1,ses-2020-10-30-Run1,400,0.17326284497976302
film,1,ses-2020-10-30-Run1,800,0.18155524134635925
film,1,ses-2020-10-30-Run1,1600,0.1773291200399399
film,1,ses-2020-10-30-Run1,3200,0.17802541255950927
film,1,ses-2020-10-30-Run1,1000000000,0.17802541255950927
film,1,ses-2020-10-30-Run2,200,0.22614950090646743
film,1,ses-2020-10-30-Run2,400,0.2033022940158844
film,1,ses-2020-10-30-Run2,800,0.20873784869909287
film,1,ses-2020-10-30-Run2,1600,0.2053953915834427
film,1,ses-2020-10-30-Run2,3200,0.20564026087522508
film,1,ses-2020-10-30-Run2,1000000000,0.20564026087522508
film,1,ses-2020-11-18-Run1,200,0.11288053393363953
film,1,ses-2020-11-18-Run1,400,0.11792413257062435
film,1,ses-2020-11-18-Run1,800,0.12426243051886558
film,1,ses-2020-11-18-Run1,1600,0.12183265453204513
film,1,ses-2020-11-18-Run1,3200,0.12120018899440765
film,1,ses-2020-11-18-Run1,1000000000,0.12120018899440765
film,1,ses-2020-11-19-Run1,200,0.03963215108960867
film,1,ses-2020-11-19-Run1,400,0.040378127992153165
film,1,ses-2020-11-19-Run1,800,0.03557147830724716
film,1,ses-2020-11-19-Run1,1600,0.03648444563150406
film,1,ses-2020-11-19-Run1,3200,0.0357899010181427
film,1,ses-2020-11-19-Run1,1000000000,0.0357899010181427
film,1,ses-2020-11-24-Run1,200,0.07179930889979005
film,1,ses-2020-11-24-Run1,400,0.0852930722758174
film,1,ses-2020-11-24-Run1,800,0.08879006477072834
film,1,ses-2020-11-24-Run1,1600,0.08765925802290439
film,1,ses-2020-11-24-Run1,3200,0.08905214946717024
film,1,ses-2020-11-24-Run1,1000000000,0.08905214946717024
film,1,ses-2020-11-24-Run2,200,0.02040586695075035
film,1,ses-2020-11-24-Run2,400,0.02792830392718315
film,1,ses-2020-11-24-Run2,800,0.02743230536580086
film,1,ses-2020-11-24-Run2,1600,0.02359977290034294
film,1,ses-2020-11-24-Run2,3200,0.02398475706577301
film,1,ses-2020-11-24-Run2,1000000000,0.02398475706577301
plain,2,ses-2020-10-30-Run1,200,0.37510481774806975
plain,2,ses-2020-10-30-Run1,400,0.37801952958106994
plain,2,ses-2020-10-30-Run1,800,0.3837310165166855
plain,2,ses-2020-10-30-Run1,1600,0.38246406614780426
plain,2,ses-2020-10-30-Run1,3200,0.3831695169210434
plain,2,ses-2020-10-30-Run1,1000000000,0.3831695169210434
plain,2,ses-2020-10-30-Run2,200,0.2631529986858368
plain,2,ses-2020-10-30-Run2,400,0.28132015466690063
plain,2,ses-2020-10-30-Run2,800,0.28363009095191954
plain,2,ses-2020-10-30-Run2,1600,0.2905488908290863
plain,2,ses-2020-10-30-Run2,3200,0.2874479413032532
plain,2,ses-2020-10-30-Run2,1000000000,0.2874479413032532
plain,2,ses-2020-11-18-Run1,200,0.20080526769161225
plain,2,ses-2020-11-18-Run1,400,0.19532277286052704
plain,2,ses-2020-11-18-Run1,800,0.2099551022052765
