seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
3,128,13634,ses-2020-10-30-Run2,1000000000,40.8,0.2612928837537766
3,128,13634,ses-2020-11-18-Run1,200,4.0,0.06836254149675369
3,128,13634,ses-2020-11-18-Run1,400,8.0,0.11805887371301652
3,128,13634,ses-2020-11-18-Run1,800,16.0,0.11603078693151474
3,128,13634,ses-2020-11-18-Run1,1600,32.0,0.10466705411672592
3,128,13634,ses-2020-11-18-Run1,3200,40.3,0.10938776582479477
3,128,13634,ses-2020-11-18-Run1,1000000000,40.3,0.10938776582479477
3,128,13634,ses-2020-11-19-Run1,200,4.0,0.00587741807103157
3,128,13634,ses-2020-11-19-Run1,400,8.0,0.03086165487766266
3,128,13634,ses-2020-11-19-Run1,800,16.0,0.024264780431985856
3,128,13634,ses-2020-11-19-Run1,1600,32.0,0.026788004487752915
3,128,13634,ses-2020-11-19-Run1,3200,48.7,0.030049561709165572
3,128,13634,ses-2020-11-19-Run1,1000000000,48.7,0.030049561709165572
3,128,13634,ses-2020-11-24-Run1,200,4.0,0.044387641549110415
3,128,13634,ses-2020-11-24-Run1,400,8.0,0.08347906768321992
3,128,13634,ses-2020-11-24-Run1,800,16.0,0.08538269549608231
3,128,13634,ses-2020-11-24-Run1,1600,32.0,0.0890428364276886
3,128,13634,ses-2020-11-24-Run1,3200,35.4,0.08898520171642303
3,128,13634,ses-2020-11-24-Run1,1000000000,35.4,0.08898520171642303
3,128,13634,ses-2020-11-24-Run2,200,4.0,-0.06500574052333832
3,128,13634,ses-2020-11-24-Run2,400,8.0,-0.039321212098002434
3,128,13634,ses-2020-11-24-Run2,800,16.0,-0.04112372100353241
3,128,13634,ses-2020-11-24-Run2,1600,32.0,-0.03547424003481865
3,128,13634,ses-2020-11-24-Run2,3200,37.6,-0.03872449789196253
3,128,13634,ses-2020-11-24-Run2,1000000000,37.6,-0.03872449789196253
