session_a,session_b,date_a,date_b,split_a,split_b,days,nunits_a,nunits_b,kernel_cosine_similarity,mmd2,mmd2_unclipped
sub-C_ses-CO-20150311,sub-C_ses-CO-20150714,20150311,20150714,train,train,125,88,66,0.9955532685754113,0.006687091742193063,0.006687091742193063
sub-C_ses-CO-20150311,sub-C_ses-CO-20150715,20150311,20150715,train,train,126,88,60,0.9892789476423526,0.012980374117349758,0.012980374117349758
sub-C_ses-CO-20150311,sub-C_ses-CO-20150716,20150311,20150716,train,train,127,88,61,0.9974587753787485,0.0038448705134108696,0.0038448705134108696
sub-C_ses-CO-20150311,sub-C_ses-CO-20151103,20150311,20151103,train,dev,237,88,38,0.986091010045772,0.01711459236523205,0.01711459236523205
sub-C_ses-CO-20150311,sub-C_ses-CO-20151104,20150311,20151104,train,dev,238,88,59,0.9855836962179421,0.020913546426109875,0.020913546426109875
sub-C_ses-CO-20150311,sub-C_ses-CO-20151106,20150311,20151106,train,dev,240,88,60,0.9832794296546566,0.02093157985148353,0.02093157985148353
sub-C_ses-CO-20150311,sub-C_ses-CO-20151109,20150311,20151109,train,dev,243,88,65,0.9716547579522082,0.03518102404895451,0.03518102404895451
sub-C_ses-CO-20150311,sub-C_ses-CO-20151110,20150311,20151110,train,dev,244,88,61,0.9763020819408096,0.0314518357943836,0.0314518357943836
sub-C_ses-CO-20150311,sub-C_ses-CO-20151112,20150311,20151112,train,dev,246,88,42,0.9758907225424757,0.03925348951208141,0.03925348951208141
sub-C_ses-CO-20150312,sub-C_ses-CO-20150313,20150312,20150313,train,train,1,91,86,0.9956837292939792,0.005176085834673216,0.005176085834673216
sub-C_ses-CO-20150312,sub-C_ses-CO-20150319,20150312,20150319,train,train,7,91,72,0.9962073576458085,0.005041938840476323,0.005041938840476323
sub-C_ses-CO-20150312,sub-C_ses-CO-20150629,20150312,20150629,train,train,109,91,49,0.9917979647173303,0.009549958399133418,0.009549958399133418
sub-C_ses-CO-20150312,sub-C_ses-CO-20150630,20150312,20150630,train,train,110,91,44,0.9810554620947322,0.022027275556434134,0.022027275556434134
sub-C_ses-CO-20150312,sub-C_ses-CO-20150701,20150312,20150701,train,train,111,91,49,0.9860257932324188,0.01658771691334393,0.01658771691334393
sub-C_ses-CO-20150312,sub-C_ses-CO-20150703,20150312,20150703,train,train,113,91,52,0.988677370841518,0.014739550450205474,0.014739550450205474
sub-C_ses-CO-20150312,sub-C_ses-CO-20150706,20150312,20150706,train,train,116,91,46,0.991999459839953,0.010766190831199118,0.010766190831199118
sub-C_ses-CO-20150312,sub-C_ses-CO-20150707,20150312,20150707,train,train,117,91,42,0.9942904339831155,0.008146308801699975,0.008146308801699975
sub-C_ses-CO-20150312,sub-C_ses-CO-20150708,20150312,20150708,train,train,118,91,64,0.993909187053349,0.007960286023996677,0.007960286023996677
sub-C_ses-CO-20150312,sub-C_ses-CO-20150709,20150312,20150709,train,train,119,91,61,0.9963238332358701,0.004261584765515636,0.004261584765515636
sub-C_ses-CO-20150312,sub-C_ses-CO-20150710,20150312,20150710,train,train,120,91,55,0.9940864741796634,0.006848024224152871,0.006848024224152871
sub-C_ses-CO-20150312,sub-C_ses-CO-20150713,20150312,20150713,train,train,123,91,58,0.9948285560169664,0.006345863310658784,0.006345863310658784
sub-C_ses-CO-20150312,sub-C_ses-CO-20150714,20150312,20150714,train,train,124,91,66,0.9924690910833622,0.009037039139993208,0.009037039139993208
sub-C_ses-CO-20150312,sub-C_ses-CO-20150715,20150312,20150715,train,train,125,91,60,0.9961300442281109,0.004490690447677581,0.004490690447677581
sub-C_ses-CO-20150312,sub-C_ses-CO-20150716,20150312,20150716,train,train,126,91,61,0.9881402011071799,0.013714400749822664,0.013714400749822664
sub-C_ses-CO-20150312,sub-C_ses-CO-20151103,20150312,20151103,train,dev,236,91,38,0.9892868640987764,0.012417276369741881,0.012417276369741881
sub-C_ses-CO-20150312,sub-C_ses-CO-20151104,20150312,20151104,train,dev,237,91,59,0.9924535449579742,0.011166727480224292,0.011166727480224292
sub-C_ses-CO-20150312,sub-C_ses-CO-20151106,20150312,20151106,train,dev,239,91,60,0.9958062891277721,0.005394093549963008,0.005394093549963008
sub-C_ses-CO-20150312,sub-C_ses-CO-20151109,20150312,20151109,train,dev,242,91,65,0.9898215628870755,0.0129896240301004,0.0129896240301004
sub-C_ses-CO-20150312,sub-C_ses-CO-20151110,20150312,20151110,train,dev,243,91,61,0.98670071241831,0.017646513149286225,0.017646513149286225
sub-C_ses-CO-20150312,sub-C_ses-CO-20151112,20150312,20151112,train,dev,245,91,42,0.9779298815470463,0.03309385393343678,0.03309385393343678
sub-C_ses-CO-20150313,sub-C_ses-CO-20150319,20150313,20150319,train,train,6,86,72,0.9952896993352528,0.00679527277476577,0.00679527277476577
sub-C_ses-CO-20150313,sub-C_ses-CO-20150629,20150313,20150629,train,train,108,86,49,0.9973673802956498,0.003171318372650056,0.003171318372650056
sub-C_ses-CO-20150313,sub-C_ses-CO-20150630,20150313,20150630,train,train,109,86,44,0.9860125867756911,0.01738476307001391,0.01738476307001391
sub-C_ses-CO-20150313,sub-C_ses-CO-20150701,20150313,20150701,train,train,110,86,49,0.9897211484445579,0.013366220676968465,0.013366220676968465
sub-C_ses-CO-20150313,sub-C_ses-CO-20150703,20150313,20150703,train,train,112,86,52,0.9863731396811668,0.018511586323653573,0.018511586323653573
sub-C_ses-CO-20150313,sub-C_ses-CO-20150706,20150313,20150706,train,train,115,86,46,0.9893212636442161,0.014833789274228737,0.014833789274228737
sub-C_ses-CO-20150313,sub-C_ses-CO-20150707,20150313,20150707,train,train,116,86,42,0.9936461967028057,0.00990245915534338,0.00990245915534338
sub-C_ses-CO-20150313,sub-C_ses-CO-20150708,20150313,20150708,train,train,117,86,64,0.9925621602462118,0.010347465557814184,0.010347465557814184
sub-C_ses-CO-20150313,sub-C_ses-CO-20150709,20150313,20150709,train,train,118,86,61,0.9966742187857639,0.004062067199110064,0.004062067199110064
sub-C_ses-CO-20150313,sub-C_ses-CO-20150710,20150313,20150710,train,train,119,86,55,0.9938552978204781,0.007380948442982094,0.007380948442982094
sub-C_ses-CO-20150313,sub-C_ses-CO-20150713,20150313,20150713,train,train,122,86,58,0.9941206731894306,0.007779114066248427,0.007779114066248427
sub-C_ses-CO-20150313,sub-C_ses-CO-20150714,20150313,20150714,train,train,123,86,66,0.9949607360445963,0.0068753412764210875,0.0068753412764210875
sub-C_ses-CO-20150313,sub-C_ses-CO-20150715,20150313,20150715,train,train,124,86,60,0.9948301195205566,0.006189558776387827,0.006189558776387827
sub-C_ses-CO-20150313,sub-C_ses-CO-20150716,20150313,20150716,train,train,125,86,61,0.9924299280584896,0.00930544745695916,0.00930544745695916
sub-C_ses-CO-20150313,sub-C_ses-CO-20151103,20150313,20151103,train,dev,235,86,38,0.9887394954528392,0.013595576230543305,0.013595576230543305
sub-C_ses-CO-20150313,sub-C_ses-CO-20151104,20150313,20151104,train,dev,236,86,59,0.9899375189775068,0.015208065299427531,0.015208065299427531
sub-C_ses-CO-20150313,sub-C_ses-CO-20151106,20150313,20151106,train,dev,238,86,60,0.9923155876972597,0.01003930687356136,0.01003930687356136
sub-C_ses-CO-20150313,sub-C_ses-CO-20151109,20150313,20151109,train,dev,241,86,65,0.9834631259928448,0.021141091775759957,0.021141091775759957
sub-C_ses-CO-20150313,sub-C_ses-CO-20151110,20150313,20151110,train,dev,242,86,61,0.9825632231319846,0.02357795677155572,0.02357795677155572
sub-C_ses-CO-20150313,sub-C_ses-CO-20151112,20150313,20151112,train,dev,244,86,42,0.9725677842542575,0.04099642197389597,0.04099642197389597
sub-C_ses-CO-20150319,sub-C_ses-CO-20150629,20150319,20150629,train,train,102,72,49,0.9941530481447269,0.0074535234791353044,0.0074535234791353044
sub-C_ses-CO-20150319,sub-C_ses-CO-20150630,20150319,20150630,train,train,103,72,44,0.9871069502601653,0.013857189112357338,0.013857189112357338
sub-C_ses-CO-20150319,sub-C_ses-CO-20150701,20150319,20150701,train,train,104,72,49,0.9942938002821874,0.006126473466067095,0.006126473466067095
sub-C_ses-CO-20150319,sub-C_ses-CO-20150703,20150319,20150703,train,train,106,72,52,0.9946008011428891,0.006092266912004485,0.006092266912004485
sub-C_ses-CO-20150319,sub-C_ses-CO-20150706,20150319,20150706,train,train,109,72,46,0.9963145842367584,0.004156140974700184,0.004156140974700184
sub-C_ses-CO-20150319,sub-C_ses-CO-20150707,20150319,20150707,train,train,110,72,42,0.997087166612528,0.003302951839587287,0.003302951839587287
sub-C_ses-CO-20150319,sub-C_ses-CO-20150708,20150319,20150708,train,train,111,72,64,0.9984426404970942,0.0017039939620679956,0.0017039939620679956
sub-C_ses-CO-20150319,sub-C_ses-CO-20150709,20150319,20150709,train,train,112,72,61,0.9971300495421083,0.0038414030132287724,0.0038414030132287724
sub-C_ses-CO-20150319,sub-C_ses-CO-20150710,20150319,20150710,train,train,113,72,55,0.9970181144455733,0.0039177752183230385,0.0039177752183230385
sub-C_ses-CO-20150319,sub-C_ses-CO-20150713,20150319,20150713,train,train,116,72,58,0.9960438093002989,0.004322000351734356,0.004322000351734356
sub-C_ses-CO-20150319,sub-C_ses-CO-20150714,20150319,20150714,train,train,117,72,66,0.9923064025155666,0.008356287141732421,0.008356287141732421
sub-C_ses-CO-20150319,sub-C_ses-CO-20150715,20150319,20150715,train,train,118,72,60,0.9957379672154767,0.005521226541820301,0.005521226541820301
sub-C_ses-CO-20150319,sub-C_ses-CO-20150716,20150319,20150716,train,train,119,72,61,0.9880613628836619,0.013320356403083045,0.013320356403083045
sub-C_ses-CO-20150319,sub-C_ses-CO-20151103,20150319,20151103,train,dev,229,72,38,0.9894502517654993,0.011757229098303457,0.011757229098303457
sub-C_ses-CO-20150319,sub-C_ses-CO-20151104,20150319,20151104,train,dev,230,72,59,0.9936194761937328,0.007337477000272097,0.007337477000272097
sub-C_ses-CO-20150319,sub-C_ses-CO-20151106,20150319,20151106,train,dev,232,72,60,0.9941948828679817,0.006271513837699638,0.006271513837699638
sub-C_ses-CO-20150319,sub-C_ses-CO-20151109,20150319,20151109,train,dev,235,72,65,0.9935726010921647,0.006994228441074668,0.006994228441074668
sub-C_ses-CO-20150319,sub-C_ses-CO-20151110,20150319,20151110,train,dev,236,72,61,0.9917813784360147,0.009379363883438296,0.009379363883438296
sub-C_ses-CO-20150319,sub-C_ses-CO-20151112,20150319,20151112,train,dev,238,72,42,0.9735441815694125,0.03137067619270428,0.03137067619270428
sub-C_ses-CO-20150629,sub-C_ses-CO-20150630,20150629,20150630,train,train,1,49,44,0.9898125946956092,0.012383817920001983,0.012383817920001983
sub-C_ses-CO-20150629,sub-C_ses-CO-20150701,20150629,20150701,train,train,2,49,49,0.9915491690203684,0.010580159357103547,0.010580159357103547
sub-C_ses-CO-20150629,sub-C_ses-CO-20150703,20150629,20150703,train,train,4,49,52,0.9889369840536748,0.014656465783035921,0.014656465783035921
sub-C_ses-CO-20150629,sub-C_ses-CO-20150706,20150629,20150706,train,train,7,49,46,0.989223023233392,0.013983502510301893,0.013983502510301893
sub-C_ses-CO-20150629,sub-C_ses-CO-20150707,20150629,20150707,train,train,8,49,42,0.9926337286383229,0.010130315948490676,0.010130315948490676
sub-C_ses-CO-20150629,sub-C_ses-CO-20150708,20150629,20150708,train,train,9,49,64,0.9928628929902632,0.00925955606271578,0.00925955606271578
sub-C_ses-CO-20150629,sub-C_ses-CO-20150709,20150629,20150709,train,train,10,49,61,0.9963795370371659,0.004219425275334254,0.004219425275334254
sub-C_ses-CO-20150629,sub-C_ses-CO-20150710,20150629,20150710,train,train,11,49,55,0.9953325263311421,0.005436147948949754,0.005436147948949754
sub-C_ses-CO-20150629,sub-C_ses-CO-20150713,20150629,20150713,train,train,14,49,58,0.9946167925038243,0.006678910204412913,0.006678910204412913
sub-C_ses-CO-20150629,sub-C_ses-CO-20150714,20150629,20150714,train,train,15,49,66,0.9955303576691896,0.005687824456817037,0.005687824456817037
sub-C_ses-CO-20150629,sub-C_ses-CO-20150715,20150629,20150715,train,train,16,49,60,0.9945841709112978,0.00630383553407432,0.00630383553407432
sub-C_ses-CO-20150629,sub-C_ses-CO-20150716,20150629,20150716,train,train,17,49,61,0.9938478507072125,0.00727115407561052,0.00727115407561052
sub-C_ses-CO-20150629,sub-C_ses-CO-20151103,20150629,20151103,train,dev,127,49,38,0.9881714437925092,0.013771021493425462,0.013771021493425462
sub-C_ses-CO-20150629,sub-C_ses-CO-20151104,20150629,20151104,train,dev,128,49,59,0.9886144610059242,0.015521811398746754,0.015521811398746754
sub-C_ses-CO-20150629,sub-C_ses-CO-20151106,20150629,20151106,train,dev,130,49,60,0.9892701260276582,0.01284290493271234,0.01284290493271234
sub-C_ses-CO-20150629,sub-C_ses-CO-20151109,20150629,20151109,train,dev,133,49,65,0.9828328947888122,0.020841656412688314,0.020841656412688314
sub-C_ses-CO-20150629,sub-C_ses-CO-20151110,20150629,20151110,train,dev,134,49,61,0.9834342280694464,0.021392304539649576,0.021392304539649576
sub-C_ses-CO-20150629,sub-C_ses-CO-20151112,20150629,20151112,train,dev,136,49,42,0.9706267673027015,0.04083616215567243,0.04083616215567243
sub-C_ses-CO-20150630,sub-C_ses-CO-20150701,20150630,20150701,train,train,1,44,49,0.9812153007322437,0.020081406486711417,0.020081406486711417
sub-C_ses-CO-20150630,sub-C_ses-CO-20150703,20150630,20150703,train,train,3,44,52,0.980025177651416,0.021235155161798636,0.021235155161798636
sub-C_ses-CO-20150630,sub-C_ses-CO-20150706,20150630,20150706,train,train,6,44,46,0.9828440245041388,0.01824955947072726,0.01824955947072726
sub-C_ses-CO-20150630,sub-C_ses-CO-20150707,20150630,20150707,train,train,7,44,42,0.9830345354545841,0.01804338339845013,0.01804338339845013
