run_id,variant,seed,validation_protocol,fold_id,split,session,M,R2_variance_weighted,R2_delta_vs_matched_baseline,identity_mse,prediction_distill_mse,parameter_count,weight_bytes,MAC_per_trial,MAC_per_session,peak_live_state_bytes,trial_buffer_bytes,support_state_bytes,requires_cubic_interpolation,requires_general_multiplier,requires_divider,quant_format,saturation_count
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldin,ses-2020-10-19-Run2,24,0.03482100,,0.11812544,9.2357885e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldout,ses-2020-10-30-Run1,24,-0.07042114,,0.093551144,3.7438491e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldout,ses-2020-10-30-Run2,24,-0.16089955,,0.10148471,4.4015604e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldout,ses-2020-11-18-Run1,24,-0.15399444,,0.086498968,3.7295253e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldout,ses-2020-11-19-Run1,24,-0.07267737,,0.11969616,2.8614304e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldout,ses-2020-11-24-Run1,24,-0.04042450,,0.11169269,2.3353879e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_zeroed_m2_t4_cpu_f1_s42_20260809_162013,B3S,42,loso,1,test_heldout,ses-2020-11-24-Run2,24,-0.05594334,,0.072693832,2.4350238e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
