run_id,variant,seed,validation_protocol,fold_id,split,session,M,R2_variance_weighted,R2_delta_vs_matched_baseline,identity_mse,prediction_distill_mse,parameter_count,weight_bytes,MAC_per_trial,MAC_per_session,peak_live_state_bytes,trial_buffer_bytes,support_state_bytes,requires_cubic_interpolation,requires_general_multiplier,requires_divider,quant_format,saturation_count
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldin,ses-2020-10-19-Run2,24,0.44679666,,0.11812544,3.4123226e-05,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldout,ses-2020-10-30-Run1,24,0.39105499,,0.093551144,3.4573677e-06,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldout,ses-2020-10-30-Run2,24,0.31148261,,0.10148471,5.8089531e-06,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldout,ses-2020-11-18-Run1,24,0.22515030,,0.086498968,3.8460098e-06,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldout,ses-2020-11-19-Run1,24,0.06925158,,0.11969616,9.0580943e-06,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldout,ses-2020-11-24-Run1,24,0.17798990,,0.11169269,8.7482022e-06,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
p1_redo_anchor_m2_t4_full_cpu_f1_s42_20260809_161655,B3S,42,loso,1,test_heldout,ses-2020-11-24-Run2,24,0.18578896,,0.072693832,4.6172863e-06,18290,73160,614400,15863808,62976,38400,24576,True,True,True,fp32,
